id,token,tag
0,Статья,O
1,посвящена,O
2,изучению,Contrib
3,функционирования,Contrib
4,продолженного,Contrib
5,инфинитива,Contrib
6,в,Contrib
7,системе,Contrib
8,форм,Contrib
9,английского,Contrib
10,глагола,Contrib
11,с,Contrib
12,когнитивной,Contrib
13,точки,Contrib
14,зрения,Contrib
15,.,O
16,Конструкции,Contrib
17,с,Contrib
18,продолженным,Contrib
19,инфинитивом,Contrib
20,и,Contrib
21,предикатами,Contrib
22,кажимости,Contrib
23,анализируются,Contrib
24,как,Contrib
25,средство,Contrib
26,номинации,Contrib
27,различных,Contrib
28,ситуаций,Contrib
29,восприятия,Contrib
30,.,O
