id,token,tag
0,Экспериментальные,O
1,данные,O
2,давно,O
3,и,O
4,по,O
5,достоинству,O
6,оценены,O
7,в,O
8,реконструкции,O
9,археологически,O
10,фиксируемых,O
11,явлений,O
12,.,O
13,Простые,O
14,на,O
15,первый,O
16,взгляд,O
17,процедуры,O
18,",",O
19,способы,O
20,их,O
21,реализации,O
22,могут,O
23,вызвать,O
24,острые,O
25,дискуссии,O
26,среди,O
27,исследователей,O
28,.,O
29,Cкрепление,O
30,кож,O
31,и,O
32,шкур,O
33,сложно,O
34,представить,O
35,без,O
36,участия,O
37,иглы,O
38,и,O
39,нити,O
40,",",O
41,но,O
42,всегда,O
43,ли,O
44,мы,O
45,имеем,O
46,верные,O
47,представления,O
48,об,O
49,их,O
50,использовании,O
51,в,O
52,глубокой,O
53,древности,O
54,",",O
55,можно,O
56,ли,O
57,подтвердить,O
58,наши,O
59,представления,O
60,экспериментальным,O
61,образом,O
62,?,O
63,Поиск,O
64,ответа,O
65,на,O
66,данный,O
67,вопрос,O
68,лег,O
69,в,O
70,основу,O
71,эксперимента,O
72,",",O
73,основные,O
74,этапы,O
75,реализации,O
76,которого,O
77,изложены,O
78,в,O
79,статье,O
80,.,O
81,Его,O
82,цель,O
83,–,O
84,получение,Contrib
85,и,Contrib
86,анализ,Contrib
87,следов,Contrib
88,утилизации,Contrib
89,",",Contrib
90,динамика,Contrib
91,и,Contrib
92,специфика,Contrib
93,их,Contrib
94,формирования,Contrib
95,на,Contrib
96,костяной,Contrib
97,игле,Contrib
98,(,Contrib
99,с,Contrib
100,нитью,Contrib
101,из,Contrib
102,сухожилий,Contrib
103,),Contrib
104,в,Contrib
105,условиях,Contrib
106,перфорации,Contrib
107,фрагмента,Contrib
108,грубо,Contrib
109,выделанной,Contrib
110,шкуры,Contrib
111,.,O
112,Целью,O
113,сообщения,O
114,является,O
115,презентация,O
116,полученных,O
117,результатов,O
118,и,O
119,их,O
120,интерпретация,O
121,.,O
122,В,O
123,исследовании,O
124,представлены,O
125,результаты,O
126,изготовления,O
127,и,O
128,использования,O
129,иглы,O
130,",",O
131,выполненной,O
132,из,O
133,щепы,O
134,бивня,O
135,мамонта,O
136,для,O
137,перфорации,O
138,шкуры,O
139,грубой,O
140,выделки,O
141,.,O
142,Особое,O
143,внимание,O
144,уделено,O
145,описанию,Contrib
146,видоизменения,Contrib
147,инструмента,Contrib
148,в,Contrib
149,ходе,Contrib
150,указанной,Contrib
151,процедуры,Contrib
152,и,O
153,обсуждению,Contrib
154,следов,Contrib
155,утилизации,Contrib
156,",",Contrib
157,сформированных,Contrib
158,на,Contrib
159,его,Contrib
160,поверхности,Contrib
161,в,Contrib
162,процессе,Contrib
163,сотни,Contrib
164,перфораций,Contrib
165,.,O
166,Полученные,O
167,данные,O
168,позволяют,O
169,аргументировано,O
170,обсуждать,O
171,отдельные,O
172,этапы,O
173,как,O
174,изготовления,O
175,",",O
176,так,O
177,и,O
178,использования,O
179,аналогичных,O
180,изделий,O
181,;,O
182,быстроту,O
183,формирования,O
184,на,O
185,поверхности,O
186,инструментов,O
187,типичных,O
188,признаков,O
189,деятельности,O
190,.,O
191,Полученные,O
192,образцы,O
193,следов,O
194,позволят,O
195,выделить,O
196,круг,O
197,инструментов,O
198,",",O
199,привлекаемых,O
200,к,O
201,перфорированию,O
202,грубых,O
203,материалов,O
204,и,O
205,могут,O
206,быть,O
207,включены,O
208,в,O
209,коллекцию,O
210,эталонов,O
211,реконструируемых,O
212,процедур,O
213,.,O
